Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
PPC,Pilgrim s Pride Corporation,Apr 25  2017 - May 1  ,17.15 - 27.79,0.4,0.64,0.48,0.39,0.46,0.58,0.4,0.3,../test/Nasdaq/PPC/PPC.csv,
SNDX,Syndax Pharmaceuticals  Inc.,Nov 7  2016 - Nov 11  ,6.31 - 18.03,-0.48,-0.54,-0.76,-0.73,-2.85,-0.47,-0.84,-0.59,../test/Nasdaq/SNDX/SNDX.csv,
SNOAW,Sonoma Pharmaceuticals  Inc.,,,null,,
SIGM,Sigma Designs  Inc.,Mar 21  2017 - Mar 27  ,5.20 - 8.60,-0.05,-0.05,0.01,0.08,0.02,-0.12,0.07,0.09,../test/Nasdaq/SIGM/SIGM.csv,
COWNL,Cowen Group  Inc.,,,null,,
PACEW,Pace Holdings Corp.,,,null,,
DFRG,Del Frisco s Restaurant Group ,Feb 27  2017 - Mar 3  ,13.01 - 18.50,0.21,0.18,0.05,0.33,0.23,0.19,0.04,0.37,../test/Nasdaq/DFRG/DFRG.csv,
GILT,Gilat Satellite Networks Ltd.,May 16  2017 - May 22  ,3.90 - 6.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GILT/GILT.csv,
DNBF,DNB Financial Corp,Apr 18  2017 - Apr 24  ,23.05 - 35.00,0.4,0.41,0.39,0.47,0.35,0.39,0.42,0.48,../test/Nasdaq/DNBF/DNBF.csv,
MSFG,MainSource Financial Group  Inc,Apr 24  2017 - Apr 28  ,20.05 - 35.64,0.39,0.44,0.48,0.49,0.4,0.27,0.48,0.5,../test/Nasdaq/MSFG/MSFG.csv,
KTOVW,Kitov Pharmaceuticals Holdings,,,null,,
RECN,Resources Connection  Inc.,Apr 5  2017 - Apr 10  ,12.30 - 19.80,0.16,0.21,0.16,0.19,0.16,0.23,0.15,0.18,../test/Nasdaq/RECN/RECN.csv,
CHI,Calamos Convertible Opportuniti,,,null,,
NTIC,Northern Technologies Internati,,,null,,
UEPS,Net 1 UEPS Technologies  Inc.,May 4  2017 - May 11  ,8.37 - 13.81,0.44,0.44,0.4,0.4,0.36,0.51,0.48,0.43,../test/Nasdaq/UEPS/UEPS.csv,
CYBR,CyberArk Software Ltd.,May 3  2017 - May 8  ,36.40 - 59.28,0.16,0.2,0.23,0.33,0.23,0.29,0.33,0.41,../test/Nasdaq/CYBR/CYBR.csv,
CUR,Neuralstem  Inc.,Mar 13  2017 - Mar 17  ,0.19 - 6.19,-0.85,-0.72,-0.65,-0.46,-0.65,-0.91,-0.52,-0.65,../test/Nasdaq/CUR/CUR.csv,
IFV,First Trust Dorsey Wright Inter,,,null,,
PTGX,Protagonist Therapeutics  Inc.,Feb 16  2017 - Feb 17  ,10.02 - 26.36,N/A,-0.77,-0.58,-0.52,N/A,-19.07,-0.87,-0.67,../test/Nasdaq/PTGX/PTGX.csv,
AMOV,America Movil  S.A.B. de C.V. C,,,null,,
DRAM,Dataram Corporation,Dec 28  2015 - Jan 1  ,0.81 - 5.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/DRAM/DRAM.csv,
HSTM,HealthStream  Inc.,Feb 14  2017 - Feb 20  ,19.38 - 28.84,0.08,0.09,0.07,0.04,0.06,0.05,0.06,0.02,../test/Nasdaq/HSTM/HSTM.csv,
PENN,Penn National Gaming  Inc.,Apr 26  2017 - May 1  ,11.93 - 17.40,0.23,0.29,0.28,-0.14,0.26,0.37,0.51,0.05,../test/Nasdaq/PENN/PENN.csv,
FALC,FalconStor Software  Inc.,Feb 15  2017 - Feb 20  ,0.41 - 1.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FALC/FALC.csv,
CHRS,Coherus BioSciences  Inc.,Mar 13  2017 ,14.00 - 31.98,-1.74,-1.42,-1.32,-1.52,-1.35,-1.67,-1.72,1.67,../test/Nasdaq/CHRS/CHRS.csv,
CPAAW,Conyers Park Acquisition Corp.,,,null,,
MYRG,MYR Group  Inc.,Mar 1  2017 - Mar 6  ,21.84 - 43.77,0.31,0.28,0.33,0.38,0.29,0.1,0.31,0.38,../test/Nasdaq/MYRG/MYRG.csv,
CSGP,CoStar Group  Inc.,,,null,,
IGLD,Internet Gold Golden Lines Ltd.,Nov 17  2016 - Nov 21  ,9.56 - 18.00,0.62,0.42,0.65,0.87,0.04,0.34,1.05,0.78,../test/Nasdaq/IGLD/IGLD.csv,
GDEN,Golden Entertainment  Inc.,Mar 7  2017 - Mar 13  ,8.65 - 14.07,N/A,0.16,0.24,0.15,N/A,0.1,0.12,0.06,../test/Nasdaq/GDEN/GDEN.csv,
EGLE,Eagle Bulk Shipping Inc.,Nov 15  2016 - Nov 21  ,4.06 - 31.00,N/A,-1.07,-1.23,-0.85,N/A,-1.32,-2.61,-2.39,../test/Nasdaq/EGLE/EGLE.csv,
